	LL-score	MWE-ru accented	Translation	Examples	Translation
226	2912	на ходу́	on the move, in working order	Он не любит курить на ходу.  / Машина не на ходу.	He doesn't like to smoke on the move. / The car is out of order.
227	2898	в одино́чку	alone, by one's self	Решить все эти проблемы в одиночку мне не под силу.	I cannot solve these problems on my own.
228	2887	от и́мени	on behalf of	Брокер совершает сделки от имени клиента.	A broker makes deals on behalf of the client.
229	2882	име́ть смысл	have sense	На наш взгляд, имеет смысл обратиться в суд.	In our opinion, it makes sense to go to court.
230	2865	к лу́чшему	for the better	Все, что ни делается, - к лучшему.	Everything that is done is done so for the better.
231	2784	на борту́	on board	Все они были в тот вечер на борту теплохода.	That evening they were all on board the ship.
232	2766	на рука́х	in the hands (figurative)	Остальные 10% акций остаются на руках у мелких акционеров.	The other 10% of shares remain in the hands of small stockholders.
233	2741	с одно́й стороны	on the one hand	С одной стороны, увеличится количество бездетных пар.	On the one hand, the number of childless couples will increase.
234	2704	в действи́тельности	in actual fact	В действительности он не состоял вообще ни в какой партии.	In actual fact, he wasn't a member of any party.
235	2690	смысл сло́ва	meaning of  the word, sense	Президент возвращает реальный смысл слова «демократия» всем демократическим институтам.	The president is bringing back the real meaning of the word "democracy" to all democratic institutions.
236	2679	само́ по себе́	itself, in itself, by itself of its own accord	Путешествие зимой по льду Байкала само по себе экстремально. / Недели через 2-3 это заболевание  проходит само по себе.	Travelling in winter on the ice of Lake Baikal is in itself extreme. / The disease disappears by itself in about 2-3 weeks.
237	2673	со времён	from the times	Здесь некоторые участки водопровода сохранились еще со времен римлян.	Here some areas of the watercourse have remained from as early as the times of the Romans.
238	2667	по ито́гам	at the end of, on the basis of (the results)	Сотрудники были набраны по итогам конкурса.	Staff were recruited on the basis of a competition.
239	2662	для нача́ла	to start with	Но для начала давайте выпьем по рюмочке.	But to start with let's have a drink.
240	2658	под контро́лем	under control	Я держу все под контролем.	I've got everything under control.
241	2655	на́до сказа́ть	it has to be said, it should be said	Зрелище, надо сказать, эффектное.	The spectacle, it has to be said, is an effective one.
242	2651	всего́ лишь	only	Стоит ему выпить всего лишь рюмку - и он пускается в запой.	It only takes one glass for him to go on a binge.
243	2650	к лицу́	suit	Военная форма была ему очень к лицу.	His military uniform really suited him.
244	2621	мо́жно сказа́ть	in can be said	Можно сказать, что он быстро влился в коллектив.	You could say that he fitted quickly into the team.
245	2603	прекра́сный день	wonderful day	И тогда в один прекрасный день на пороге появились милиционеры.	And then one wonderful day the police turned up on our doorstep.
246	2598	име́ть значе́ние	be significant	Но он ответил, что это не имеет значения.	But he answered that it isn't significant.
247	2588	со всех сторо́н	from all sides	Мы не знали, что нас со всех сторон окружают враги.	We didn't know that we were surrounded by the enemy from all sides.
248	2580	по слу́чаю	on account, on the occasion	Президент Беларуси по случаю Дня Победы направил поздравления лидерам стран СНГ.	The president of Belarus on the occasion of Victory Day sent greetings to leaders of countries of the CIS.
249	2579	рабо́чий день	working day	Первый рабочий день был очень напряженным, но молодой человек справился.	His first day at work was very strenuous, but the young man coped.
250	2579	после́дний моме́нт	last moment	Они передумали в последний момент.	They changed their mind at the last moment.
251	2565	по умолча́нию	by default	По умолчанию программа запускается на немецком языке.	By default the programme is launched in German.
252	2539	в наде́жде	in hope	Они тянут руки в надежде получить хоть крошку хлеба.	They stretch out their hands, hoping to get at least a crumb of bread.
253	2452	в ближа́йшее вре́мя	very soon	В ближайшее время будут опубликованы условия этого конкурса.	The terms and conditions of the competition will be published very soon.
254	2299	по порядку	in order, one after the other	Рассмотрим по порядку каждый вопрос.	We'll look at each question one by one.
255	2028	по вку́су	according to taste, to one's liking	Добавьте соль и сахар по вкусу. / Такое лакомство пришлось царю по вкусу.	Add salt or sugar according to taste. / The tsar developed a liking for such delicacies.
256	1964	быть мо́жет	maybe, perhaps	Быть может, дело в том, что ты не понимаешь, чего тебе, собственно, хочется.	Perhaps you yourself don't know what you want.
257	1755	по возмо́жности	where possible	Ей нужно держать под рукой лекарства и, по возможности, побольше отдыхать.	She needs to keep her medication with her and, where possible, rest more.
258	1698	во второ́й полови́не	in the second half	Эту проблему обострил демографический взрыв, происшедший в странах третьего мира во второй половине двадцатого века.	This problem was exacerbated by the population explosion that occurred in third-world countries in the second half of the twentieth century.
259	1673	по большо́му счёту	fundamentally, generally speaking	К искусству он был по большому счету равнодушен.	He was generally indifferent to art.
260	1657	тем бо́лее что	the more so, so much so that	Виктор Иванович стал усиленно с ней заниматься, тем более что девочка очень заинтересовалась музыкой.	Viktor Ivanovich started working with her more and more, so much so that she became very interested in music.
261	1590	вре́мя от вре́мени	sometimes, occasionally	Тушите баранину в течение полутора часов,  время от времени помешивая.	Braise the lamb for an hour and half, stirring occasionally.
262	1585	по душе́	to one's liking	Многим не по душе его категоричность.	Many don't like his assertiveness.
263	1088	под открытым не́бом	in the open air	Остальным пришлось расположиться под открытым небом.	The others had to pitch up in the open air.
264	1079	в большинстве́ слу́чаев	in the majority of cases	В подавляющем большинстве случаев их матери употребляли наркотики.	In the overwhelming majority of cases their mothers were on drugs.
265	967	в проти́вном слу́чае	otherwise	Он должен ухватиться за этот шанс, в противном случае он рискует своим бизнесом.	He should seize this opportunity; otherwise, he risks losing his business.
266	878	в ско́ром вре́мени	soon	В скором времени  у нас появится еще одна местная радиостанция.	We're going to have another local radio station soon.
267	689	бок о́ бок	side by side	Она погибла в бою, сражаясь бок о бок с мужем.	She died in battle, fighting side by side with her husband.
268	685	по су́ти де́ла	essentially	По сути дела, мэр нашего города совершил противоправный поступок.	The town mayor had essentially committed an illegal act.
269	633	чуть было не	almost	Поначалу я чуть было не расплакалась, но потом  взяла себя в руки.	At first I almost cried, but then I managed to pull myself together.
270	596	с то́чностью до	accurate within, within the accuracy	Все сошлось с точностью до копейки.	All came to within a penny.
271	584	не говоря уже́	not to mention	Его возмущали даже запятые, не говоря уже о двоеточиях и тире.	Even commas agitated him, not to mention semi-colons and dashes.
272	584	сойти́ с ума́	go mad	После этого  все решили, что я сошел с ума.	After this everyone decided that I'd gone mad.
273	579	в коне́чном счёте	in the end, eventually, ultimately	Все это в конечном счете сказывается на увеличении урожайности зерновых.	All this ultimately affects the increase in grain production.
274	574	в чи́стом ви́де	in the pure form, in the traditional sense	Это будет не торговый центр в чистом виде, а торгово-офисный центр.	It won't be a shopping centre in the traditional sense; it's going to be a retail and office park.
275	564	в значи́тельной ме́ре	to a significant degree, to a great extent	Он написал автобиографию, в значительной мере выдумав ее.	He wrote his autobiography, inventing considerable parts of it.
276	563	в нали́чии	in stock, available	Если желаемого товара нет в наличии, можно оформить заказ.	If the requested item isn't in stock, then you can order it.
277	553	по всей ви́димости	apparently, probably	Я был в Индии уже трижды, в этом году, по всей видимости, поеду еще раз.	I've been to India three times; this year I'll probably go there again.
278	549	на пе́рвый взгляд	at first glance	На первый взгляд, это событие не заслуживает особого внимания.	At first glance this event doesn't deserve special attention.
279	490	по ме́сту жи́тельства	according to place of residence, in one's community	Работой с детьми и подростками по месту жительства занимаются также социальные педагоги.	Social workers also work with children and teenagers in the community.
280	476	в прямо́м эфи́ре	live	Водители узнают о пробках в прямом эфире.	Drivers get live information about traffic jams.
281	471	по со́бственному жела́нию	of one's own free will, of one's own accord	Она подала заявление об уходе из театра по собственному желанию.	She resigned from the theatre of her own free will.
282	396	в глубине́ души́	at the back of one's mind, in private	Но в глубине души он еще долго верил, что сын его жив.	But at the back of his mind he believed for a long time that his son was alive.
283	336	не дай бог	God forbid	Говори тише, чтобы, не дай бог, не разбудить нашего мальчика.	Be quiet so that you don't, God forbid, wake our little boy.
284	270	из после́дних сил	with all one's might	Он боролся за жизнь из последних сил, преодолевая головокружение и теряя сознание от боли.	He fought for his life with all his might, overcoming dizziness and losing consciousness from the pain.
285	249	с пе́рвого взгляда	at first sight	Они полюбили друг друга с первого взгляда.	They fell in love with one another at first sight.
286	234	ме́жду тем	meanwhile, in the meantime	Стал он готовиться в университет, а между тем принялся давать уроки.	He began preparing for university and in the meantime he started giving lessons.
287	222	по своему́ усмотре́нию	at one's (own) discretion	Каждый может пользоваться ими по своему усмотрению.	Everyone is free to use them at their own discretion.
288	148	по всей вероя́тности	in all likelihood	Все начнется, по всей вероятности, с социологических исследований.	Everything will most likely start from sociological research.
289	311	почему́ бы	and why	Ребята,  почему бы нам сейчас не искупаться?	Guys, why don't we go for a swim today?
290	176	тем вре́менем	meanwhile, in the meantime	Тем временем резко похолодало.	In the meantime it got much colder.
291	176	мо́жно сде́лать вы́вод	one can judge	Вот только после этого можно сделать вывод о ее эффективности!	Only after this can we judge its effectiveness!
292	167	от всей души́	with all one's heart, sincerely	От всей души желаю всем здоровья, успехов в учебе и работе!	I sincerely wish you all good health and success in your studies and at work.
293	163	наско́лько я понима́ю	as far as I understand	Насколько я понимаю, с этим медицина бороться не может.	As far as I understand, medicine cannot combat this.
294	136	за вре́мя	during	За время нашего полета профессор коротко рассказал мне программу своей поездки.	During our flight the professor gave me a brief account of what he was going to do on his trip.
295	115	в после́днюю о́чередь	last	Они в любом случае будут готовы только в в последнюю очередь.	In any case, they will be the last to be ready.
296	112	честь и досто́инство	honour and dignity, reputation	Он умер, как и жил - с честью и достоинством.	He died as he had lived - with honour and dignity.
297	112	в результа́те чего́	as a result	У людей с таким диагнозом избыток жидкости всасывается в клетки, в результате чего они набухают.	In people with this diagnosis surplus liquid is absorbed into cells, which get swollen as a result.
298	111	в своё вре́мя	some time ago, in one's day, once	В свое время он почти закончил философский факультет.	In his day he almost graduated from the Faculty of Philosophy.
299	111	добра́ и зла	good and evil	В его беседе с Ставрогиным Тихон все время сам стоит на грани добра и зла.	Talking to Stavrogin, Tikhon is himself on the verge of good and evil.
300	110	с э́той це́лью	with this goal	В связи с этой целью ставится конкретная задача.	With this goal in mind we set a specific task.
